"member_casual","weekday","number_of_rides","average_duration"
"casual","Sun",181293,3581.40538796313
"casual","Mon",103296,3372.28692301735
"casual","Tue",90510,3596.35994917689
"casual","Wed",92457,3718.66189688179
"casual","Thu",102679,3682.98467067268
"casual","Fri",122404,3773.83511159766
"casual","Sat",209543,3331.91384107319
"member","Sun",267965,919.974616087922
"member","Mon",472196,842.572569441503
"member","Tue",508445,826.142747003117
"member","Wed",500329,823.999644234094
"member","Thu",484177,823.92780326203
"member","Fri",452790,824.530506415778
"member","Sat",287958,968.933722973489
